,Frequency,Word
0,21,Microsoft
1,9,Xbox
2,9,Windows
3,9,Surface
4,8,Office
5,7,NOW
6,7,365
7,6,SHOP
8,5,Store
9,4,Center
10,4,One
11,3,more
12,3,new
13,3,games
14,3,apps
15,3,Deals
16,3,Business
17,3,PC
18,3,Dev
19,3,Developer
20,3,Azure
21,3,6
22,3,your
23,2,Dynamics
24,2,up
25,2,platform
26,2,Access
27,2,Latinx
28,2,Discover
29,2,Visual
30,2,Studio
31,2,X
32,2,STARTED
33,2,GET
34,2,Education
35,2,locations
36,2,select
37,2,students
38,2,education
39,2,Sitemap
40,2,Gears
41,2,Save
42,2,Pro
43,2,FIND
44,2,Laptop
45,2,Get
46,2,Privacy
47,2,Kubernetes
48,2,About
49,2,PCs
50,2,Devices
51,2,Company
52,2,All
53,2,Support
54,2,LEARN
55,2,MORE
56,2,news
57,1,business
58,1,"15,"
59,1,15-October
60,1,improve
61,1,outcomes.
62,1,decisions
63,1,better
64,1,join
65,1,make
66,1,data
67,1,September
68,1,us
69,1,we
70,1,celebrate
71,1,culture
72,1,"processes,"
73,1,community
74,1,inspirational
75,1,stories
76,1,"people,"
77,1,files
78,1,cloud
79,1,Month
80,1,space
81,1,native
82,1,app
83,1,get
84,1,development
85,1,today.
86,1,"employees,"
87,1,something
88,1,works
89,1,Learn
90,1,curated
91,1,"inspiration,"
92,1,Heritage
93,1,"advice,"
94,1,"products,"
95,1,EXPLORE
96,1,Explore
97,1,offline.
98,1,Honor
99,1,or
100,1,started
101,1,Hispanic
102,1,"anywhere,"
103,1,online
104,1,profile
105,1,in-store
106,1,Accessibility
107,1,services
108,1,Retail
109,1,Network
110,1,TechNet
111,1,developer
112,1,program
113,1,Channel
114,1,9
115,1,Garage
116,1,Careers
117,1,Investors
118,1,Diversity
119,1,inclusion
120,1,Security
121,1,"events,"
122,1,English
123,1,(United
124,1,States)
125,1,Contact
126,1,cookies
127,1,Terms
128,1,use
129,1,Trademarks
130,1,Safety
131,1,eco
132,1,our
133,1,ads
134,1,©
135,1,Financial
136,1,Manufacturing
137,1,Healthcare
138,1,Government
139,1,EVENTS
140,1,NEAR
141,1,Follow
142,1,What's
143,1,2
144,1,Go
145,1,S
146,1,VR
147,1,mixed
148,1,reality
149,1,10
150,1,Account
151,1,trust.
152,1,Download
153,1,support
154,1,Returns
155,1,Order
156,1,tracking
157,1,Buy
158,1,"online,"
159,1,pick
160,1,store
161,1,schools
162,1,parents
163,1,Enterprise
164,1,AppSource
165,1,Automotive
166,1,Connect
167,1,Breaking
168,1,businesses
169,1,UP
170,1,Licensing
171,1,IT
172,1,.NET
173,1,Server
174,1,Docs
175,1,Other
176,1,Rewards
177,1,Free
178,1,downloads
179,1,security
180,1,Gift
181,1,cards
182,1,View
183,1,Search
184,1,Cancel
185,1,0
186,1,Cart
187,1,Sign
188,1,Up
189,1,$400
190,1,off
191,1,ultra-light
192,1,versatile
193,1,This
194,1,what's
195,1,possible
196,1,every
197,1,Advertising
198,1,Data
199,1,Industry
200,1,main
201,1,around
202,1,world
203,1,Bing
204,1,+
205,1,MSN
206,1,extension
207,1,No
208,1,thanks
209,1,Add
210,1,it
211,1,now
212,1,Skip
213,1,content
214,1,Books
215,1,More
216,1,Software
217,1,OneDrive
218,1,Outlook
219,1,Skype
220,1,OneNote
221,1,tablets
222,1,Accessories
223,1,Entertainment
224,1,digital
225,1,Movies
226,1,TV
227,1,day
228,1,USERS
229,1,"love,"
230,1,1
231,1,"tablets,"
232,1,"laptops,"
233,1,"all-in-ones,"
234,1,gaming
235,1,"PCs,"
236,1,more.
237,1,YOUR
238,1,NEXT
239,1,Game
240,1,Pass
241,1,Ultimate
242,1,Live
243,1,Gold
244,1,over
245,1,100
246,1,high-quality
247,1,console
248,1,games.
249,1,Play
250,1,together
251,1,friends
252,1,discover
253,1,next
254,1,favorite
255,1,game.
256,1,work
257,1,employees
258,1,Shop
259,1,Do
260,1,life.
261,1,Surface.
262,1,USER
263,1,Products
264,1,home
265,1,$300
266,1,instant
267,1,savings
268,1,"2,"
269,1,starting
270,1,$899.
271,1,ultimate
272,1,way
273,1,own
274,1,Starting
275,1,universe
276,1,$24.99/month
277,1,24
278,1,months.^
279,1,Never
280,1,fight
281,1,alone
282,1,Own
283,1,5
284,1,Limited
285,1,Edition
286,1,bundle
287,1,bring
288,1,2019
